theme_id,theme_label,complaint_count,theme_share,top_terms
0,"Card opening, conversion, and unauthorized account changes",16802,0.243839433431051,"card, credit, credit card, account, called, told, capital, said, number, company, did, closed"
2,Late fee and payment posting disputes,16270,0.2361187704989406,"payment, balance, late, fee, account, payments, fees, paid, pay, late fee, charged, statement"
3,Merchant charge disputes and refund resolution,14427,0.20937218819841524,"dispute, chase, merchant, charge, refund, charges, year, transaction, provided, claim, did, received"
1,Credit reporting accuracy and FCRA disputes,9544,0.1385075320001161,"credit, report, reporting, account, information, credit report, consumer, credit reporting, fcra, act, identity, debt"
7,"Bank of America fraud, refund, and account servicing issues",4672,0.06780251356921023,"bank, bank america, america, synchrony, synchrony bank, america credit, claim, boa, credit card, called bank, credit, card bank"
4,American Express account servicing and dispute problems,3284,0.04765912982904246,"american, american express, express, amex, points, offer, bonus, express card, application, annual, express credit, business"
6,Late payment remark correction disputes,1974,0.028647722984936,"usc, 15 usc, late payment, 15, late, payment remarks, usc 1666b, 1666b, remarks, 1666b billing, remarks accounts, payments"
5,Wells Fargo account servicing and claim handling issues,1933,0.028052709488288394,"wells, fargo, wells fargo, fargo credit, fargo bank, called wells, claim, fraud, credit card, charges, contacted wells, card"
