final_theme_group,2024 Q1,2025 Q4,pct_point_change,direction
Card opening and account change issues,0.25058915946582877,0.2005893496106083,-0.05,Decrease
Credit reporting accuracy and FCRA disputes,0.11403508771929824,0.156282887813092,0.0422,Increase
Credit reporting and payment remark disputes,0.05328620057606703,0.029046516522837296,-0.0242,Decrease
Issuer-specific servicing and dispute issues,0.14663524482848914,0.14354872658387707,-0.0031,Decrease
Late fee and payment posting disputes,0.24063891070960985,0.22058513997053253,-0.0201,Decrease
Merchant charge disputes and refund resolution,0.194815396700707,0.24994737949905282,0.0551,Increase
