final_theme_group,complaint_count,theme_share
Card opening and account change issues,16802,0.243839433431051
Late fee and payment posting disputes,16270,0.2361187704989406
Merchant charge disputes and refund resolution,14427,0.20937218819841524
Issuer-specific servicing and dispute issues,9889,0.14351435288654107
Credit reporting accuracy and FCRA disputes,9544,0.1385075320001161
Credit reporting and payment remark disputes,1974,0.028647722984936
